Class,Genes
Endocrine,"TPO, TPX"
Metabolic,APOA1
Metabolic,APOA5
Metabolic,"LIPI, LPDL, PRED5"
Metabolic,"RP1, ORP1"
Gastrointestinal,"CFTR, ABCC7, CF, MRP7"
Renal,"UMOD, HNFJ, FJHN, MCKD2, ADMCKD2"
Metabolic,CYP11B2
Metabolic,CYP11B2
Metabolic,APOA1
Metabolic,"APOB, FLDB"
Endocrine,"CASR, HHC1, PCAR1, FIH"
Endocrine,"CASR, HHC1, PCAR1, FIH"
Endocrine,"CASR, HHC1, PCAR1, FIH"
Metabolic,CP
Skeletal,"FGFR3, ACH"
Hematological,HBA2
Skeletal,PAX9
Skeletal,"MSX1, HOX7, HYD1, OFC5"
Skeletal,"MSX1, HOX7, HYD1, OFC5"
Hematological,FGG
Immunological,"BLNK, SLP65"
Metabolic,"ABCC8, SUR, PHHI, SUR1"
Metabolic,"ABCC8, SUR, PHHI, SUR1"
Endocrine,LHB
Endocrine,GPR54
Endocrine,NELF
Endocrine,"GNRHR, LHRHR"
Endocrine,LHCGR
Hematological,HP
Renal,"CACNA1S, CACNL1A3, CCHL1A3"
Renal,"KCNE3, HOKPP"
Renal,"SCN4A, HYPP, NAC1A"
Metabolic,"LCT, LAC, LPH"
Metabolic,MCM6
Renal,"FXYD2, ATP1G1, HOMG2"
Renal,"CLDN16, PCLN1"
Renal,"TRPM6, CHAK2"
Endocrine,PTH
Endocrine,PTH
Endocrine,GCMB
Endocrine,"TBCE, KCS, KCS1, HRD"
Endocrine,"GATA3, HDR"
Metabolic,"ALPL, HOPS, TNSALP"
Metabolic,"ALPL, HOPS, TNSALP"
Metabolic,"CLCN5, CLCK2, NPHL2, DENTS"
Metabolic,"PHEX, HYP, HPDR1"
Bone,"FGF23, ADHR, HPDR2, PHPTC"
Connective tissue,ENAM
Cardiovascular,"GJA1, CX43, ODDD, SDTY3, ODOD"
Hematological,F2
Endocrine,CTLA4
Endocrine,"SLC5A5, NIS"
Endocrine,"DUOX2, THOX2"
Endocrine,PAX8
Endocrine,TSHR
Endocrine,"TG, AITD3"
Endocrine,TSHB
Endocrine,TSHR
Dermatological,"CDH3, CDHP, PCAD, HJMD"
Dermatological,"DSG4, LAH"
Dermatological,"SOX18, HLTS"
Dermatological,"CDSN, HTSS"
Renal,"SLC22A12, OAT4L, URAT1"
multiple,"GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID"
Dermatological,"TGM1, ICR2, LI1"
Dermatological,ALOX12B
Dermatological,ALOXE3
Dermatological,"KRT2A, KRT2E"
Dermatological,ICHYN
Dermatological,KRT10
Dermatological,"ABCA12, ICR2B, LI2"
Dermatological,KRT1
Dermatological,"ABCA12, ICR2B, LI2"
Dermatological,"TGM1, ICR2, LI1"
Dermatological,"STS, ARSC1, ARSC, SSDD"
Immunological,"ICOS, AILIM"
Immunological,"PHF11, NYREN34"
Immunological,IGHG2
Immunological,"FCGR1A, IGFR1, CD64"
multiple,"DNMT3B, ICF"
Immunological,CD3E
Immunological,CD3G
Immunological,"AICDA, AID, HIGM2"
Immunological,"TNFRSF5, CD40"
Immunological,"UNG, DGU, HIGM4"
Immunological,"TNFSF5, CD40LG, HIGM1, IGM"
multiple,"FOXP3, IPEX, AIID, XPID, PIDX"
Immunological,"TNFRSF14B, TACI"
Muscular,MYH2
Muscular,"GNE, GLCNE, IBM2, DMRV, NM"
Muscular,"VCP, IBMPFD"
Dermatological,"IKBKG, NEMO, FIP3, IP2"
Neurological,"ARX, ISSX, PRTS, MRXS1, MRX36, MRX54"
Endocrine,"SOX3, MRGH"
Metabolic,ITPA
Neurological,"NTRK1, TRKA, MTC"
Psychiatric,GABRB3
Psychiatric,"PRNP, PRIP"
Metabolic,"PPARG, PPARG1, PPARG2"
Metabolic,"PPP1R3A, PPP1R3"
Metabolic,"PTPN1, PTP1B"
Immunological,"IL2RA, IL2R"
Neurological,"COL9A2, EDM2"
Neurological,"COL9A3, EDM3, IDD"
Developmental,IGF1R
Developmental,IGF2
Hematological,"GIF, IF"
Immunological,"IRAK4, REN64"
Ophthamological,"FOXC1, FKHL7, FREAC3"
Ophthamological,"PITX2, IDG2, RIEG1, RGS, IGDS2"
Ophthamological,"FOXC1, FKHL7, FREAC3"
Hematological,TF
Hematological,"FTH1, FTHL6"
Endocrine,"GH1, GHN"
Metabolic,IVD
Skeletal,"FGFR1, FLT2, KAL2"
Skeletal,"FGFR2, BEK, CFD1, JWS"
Neurological,"TIMM8A, DFN1, DDP, MTS, DDP1"
multiple,"KCNE1, JLNS, LQT5"
multiple,"KCNQ1, KCNA9, LQT1, KVLQT1, ATFB1"
multiple,"NPHP1, NPH1, SLSN1"
multiple,AHI1
multiple,"ATRX, XH2, XNP, MRXS3, SHS"
Cancer,"MADH4, DPC4, SMAD4, JIP"
Renal,"KLK1, KLKR"
multiple,"FGFR1, FLT2, KAL2"
multiple,"KAL1, KMS, ADMLX"
Metabolic,NAGA
Immunological,"IL6, IFNB2, BSF2"
Immunological,IGKC
multiple,"DNAH11, DNAHC11"
multiple,"DNAH5, HL1, PCD, CILD3"
multiple,"DNAI1, CILD1, ICS, PCD"
multiple,"TBCE, KCS, KCS1, HRD"
Ophthamological,"PAX6, AN2, MGDA"
multiple,"GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID"
Ophthamological,"VSX1, RINX, PPCD, PPD, KTCN"
Dermatological,"GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID"
Dermatological,"SAT, SSAT, KFSD"
Dermatological,KRT1
Dermatological,DSG1
Dermatological,"DSP, KPPS2, PPKS2"
Dermatological,KRT1
Metabolic,"SCOT, OXCT"
multiple,"MGP, NTI"
Dermatological,"KIND1, URP1, C20orf42"
Hematological,KNG
multiple,"VG5Q, HUS84971, FLJ10283"
Skeletal,COL2A1
multiple,"COL18A1, KNO"
Neurological,GALC
Metabolic,"L2HGDH, C14orf160"
Metabolic,LDHB
Metabolic,PDX1
Skeletal,"SHOX, GCFX, SS, PHOG"
Skeletal,SHOXY
Skeletal,GHR
Skeletal,"FLNB, SCT, AOI"
multiple,"LAMA3, LOCS"
Metabolic,"SC5DL, ERG3"
Metabolic,"HADHA, MTPA"
Metabolic,ALAD
Nutritional,"AGRP, ART, AGRT"
Ophthamological,"CRB1, RP12"
Ophthamological,"CRX, CORD2, CRD"
Ophthamological,"RPGRIP1, LCA6, CORD9"
Ophthamological,"RPE65, RP20"
Ophthamological,"AIPL1, LCA4"
Ophthamological,"GUCY2D, GUC2D, LCA1, CORD6"
Ophthamological,"RDH12, LCA3"
Developmental,ACVR2B
Developmental,"EBAF, TGFB4, LEFTY2, LEFTA, LEFTYA"
Cardiovascular,"DTNA, D18S892E, DRP3, LVNC1"
Cardiovascular,"DTNA, D18S892E, DRP3, LVNC1"
Immunological,"TLR5, TIL3"
Neurological,"BCS1L, FLNMS, GRACILE"
Neurological,"DLD, LAD, PHE3"
Neurological,NDUFS3
Neurological,"NDUFS4, AQDQ"
Neurological,"NDUFS7, PSST"
Neurological,NDUFS8
Neurological,"NDUFV1, UQOR1"
Neurological,"SDHA, SDH2, SDHF"
Neurological,SURF1
Neurological,COX15
Neurological,"LRPPRC, LRP130, LSFC"
Neurological,"PDHA1, PHE1A"
Cancer,FH
Cancer,COL4A6
multiple,"PTPN11, PTP2C, SHP2, NS1"
Developmental,INSR
Immunological,"PRKN, PARK2, PDJ"
Skeletal,"SHOX, GCFX, SS, PHOG"
Skeletal,SHOXY
Metabolic,"HPRT1, HPRT"
Cancer,"TAL1, TCL5, SCL"
Cancer,TAL2
Cancer,FLT3
Cancer,"NBS1, NBS"
Cancer,"ZNFN1A1, IK1, LYF1"
Cancer,"HOXD4, HOX4B"
Cancer,"BCR, CML, PHL, ALL"
Cancer,ARNT
Cancer,"KRAS2, RASK2"
Cancer,GMPS
Cancer,AF10
Cancer,"ARHGEF12, LARG, KIAA0382"
Cancer,"CALM, CLTH"
Cancer,"CEBPA, CEBP"
Cancer,"CHIC2, BTL"
Cancer,FLT3
Cancer,"KIT, PBT"
Cancer,LPP
Cancer,NPM1
Cancer,"NUP214, D9S46E, CAN, CAIN"
Cancer,"RUNX1, CBFA2, AML1"
Cancer,"WHSC1L1, NSD3"
Cancer,FLT3
Cancer,AF1Q
Cancer,NPM1
Cancer,NUMA1
Cancer,"ZNF145, PLZF"
Cancer,"PML, MYL"
Cancer,STAT5B
Cancer,AF10
Cancer,"CALM, CLTH"
Cancer,"ARL11, ARLTS1"
Cancer,"P2RX7, P2X7"
Cancer,"BCR, CML, PHL, ALL"
Cancer,GRAF
Cancer,"NF1, VRNF, WSS, NFNS"
Cancer,"PTPN11, PTP2C, SHP2, NS1"
Cancer,BCL2
Cancer,"CCND1, PRAD1, BCL1"
Cancer,TCRA
Cancer,"GATA1, GF1, ERYF1, NFE1"
Cancer,"GATA1, GF1, ERYF1, NFE1"
Cancer,ABL1
Cancer,"NQO1, DIA4, NMOR1"
Cancer,"NUP214, D9S46E, CAN, CAIN"
Immunological,"ITGB2, CD18, LCAMB, LAD"
Neurological,"EIF2B1, EIF2BA"
Neurological,EIF2B2
Neurological,EIF2B3
Neurological,"EIF2B5, LVWM, CACH, CLE"
Neurological,EIF2B4
Cancer,LHCGR
Cancer,"PTEN, MMAC1"
Renal,SCNN1B
Renal,"SCNN1G, PHA1"
Cancer,"CDKN2A, MTS1, P16, MLM, CMM2"
Cancer,"TP53, P53, LFS1"
Cancer,"CHEK2, RAD53, CHK2, CDS1, LFS2"
multiple,LIG4
multiple,"TP73L, TP63, KET, EEC3, SHFM4, LMS, RHS"
Metabolic,"AGPAT2, LPAAB, BSCL, BSCL1"
Metabolic,"BSCL2, SPG17"
Metabolic,"LMNA, LMN1, EMD2, FPLD, CMD1A, HGPS, LGMD1B"
Metabolic,"PPARG, PPARG1, PPARG2"
Metabolic,"PPARGC1A, PPARGC1"
Endocrine,STAR
Endocrine,"CYP11A, P450SCC"
Metabolic,ECM1
Cancer,"HMGA2, HMGIC, BABL, LIPO"
Cancer,LPP
Cancer,MEN1
Cancer,"HMGA2, HMGIC, BABL, LIPO"
Metabolic,"LPL, LIPD"
Neurological,"PAFAH1B1, LIS1"
Neurological,"RELN, RL"
Neurological,"DCX, DBCN, LISX"
Neurological,"ARX, ISSX, PRTS, MRXS1, MRX36, MRX54"
Immunological,"CDH1, UVO"
Connective tissue,TGFBR1
Connective tissue,"TGFBR2, HNPCC6"
Developmental,CETP
Developmental,AKAP10
Cardiovascular,"KCNQ1, KCNA9, LQT1, KVLQT1, ATFB1"
Cardiovascular,"KCNH2, LQT2, HERG"
Cardiovascular,"SCN5A, LQT3, IVF, HB1, SSS1"
Cardiovascular,"ANK2, LQT4"
Cardiovascular,"KCNE1, JLNS, LQT5"
Cardiovascular,"KCNE2, MIRP1, LQT6"
Cardiovascular,"KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7"
Neurological,DCTN1
Metabolic,"OCRL, LOCR, OCRL1, NPHL2"
Cardiovascular,CYP11B2
Metabolic,LPA
Skeletal,CILP
Cancer,"KRAS2, RASK2"
Cancer,PPP2R1B
Cancer,"SLC22A1L, BWSCR1A, IMPT1"
Cancer,"MAP3K8, COT, EST, TPL2"
Connective tissue,"FCGR2A, IGFR2, CD32"
Respiratory,"TSC1, LAM"
Respiratory,"TSC2, LAM"
Hematological,"FOXC2, FKHL14, MFH1"
Hematological,"FOXC2, FKHL14, MFH1"
Hematological,"FOXC2, FKHL14, MFH1"
Hematological,"FLT4, VEGFR3, PCL"
Hematological,"FOXC2, FKHL14, MFH1"
Cancer,RAP1GDS1
Cancer,"ATM, ATA, AT1"
Cancer,BCL8
Cancer,BCL10
Cancer,BCL10
Cancer,"ATM, ATA, AT1"
Cancer,RAD54B
Cancer,"RAD54L, HR54, HRAD54"
Cancer,"FCGR2B, CD32"
Cancer,"MAD1L1, TXBP181"
Cancer,"MSH2, COCA1, FCC1, HNPCC1"
Cancer,"SH2D1A, LYP, IMD5, XLP, XLPD"
Cancer,"MSH2, COCA1, FCC1, HNPCC1"
Metabolic,"SLC7A7, LPI"
Neurological,"ATXN3, MJD, SCA3"
Hematological,"IRF1, MAR"
Hematological,"GATA1, GF1, ERYF1, NFE1"
Ophthamological,"CHST6, MCDC1"
Ophthamological,"HF1, CFH, HUS"
Ophthamological,"HMCN1, FBLN6, FIBL6"
Ophthamological,"FBLN5, ARMD3"
Ophthamological,"CNGB3, ACHM3"
Ophthamological,"RPGR, RP3, CRD, RP15, COD1"
Ophthamological,"RDS, RP7, PRPH2, PRPH, AVMD, AOFMD"
Ophthamological,"ABCA4, ABCR, STGD1, FFM, RP19"
Ophthamological,"ELOVL4, ADMD, STGD2, STGD3"
Ophthamological,"RDS, RP7, PRPH2, PRPH, AVMD, AOFMD"
Ophthamological,VMD2
Ophthamological,VMD2
Psychiatric,"FKBP5, FKBP51"
Immunological,CD36
Immunological,CD36
Immunological,ICAM1
Immunological,"TNF, TNFA"
Immunological,"GYPC, GE, GPC"
Immunological,"NOS2A, NOS2"
Neurological,"RYR1, MHS, CCO"
Neurological,"CACNA1S, CACNL1A3, CCHL1A3"
Metabolic,"MLYCD, MCD"
Cancer,"MALT1, MLT"
multiple,"ZMPSTE24, FACE1, STE24, MADB"
Metabolic,"MAN2B1, MANB"
Metabolic,"MANBA, MANB1"
Metabolic,"BCKDHA, MSUD1"
Metabolic,"BCKDHB, E1B"
Metabolic,"DBT, BCATE2"
Metabolic,"DLD, LAD, PHE3"
Connective tissue,"FBN1, MFS1, WMS"
Connective tissue,COL1A2
Metabolic,"ARSB, MPS6"
multiple,"COL11A1, STL2"
multiple,"L1CAM, CAML1, HSAS1"
Immunological,MASP2
Connective tissue,"FBN1, MFS1, WMS"
Cancer,"KIT, PBT"
Immunological,"KIT, PBT"
Neurological,"ACP33, MAST, SPG21"
Hematological,"MYH9, MHA, FTNS, DFNA17"
Metabolic,PYGM
multiple,"GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO"
Developmental,"MKKS, HMCS, KMS, MKS, BBS6"
Hematological,XK
Hematological,XK
Renal,"UMOD, HNFJ, FJHN, MCKD2, ADMCKD2"
Cancer,"RET, MEN2A"
Cancer,"NTRK1, TRKA, MTC"
Cancer,PTCH2
Cancer,"SUFU, SUFUXL, SUFUH"
Ophthamological,KRT12
Ophthamological,KRT3
Cancer,"MKL1, AMKL, MAL"
Neurological,"MLC1, LVM, VL"
Hematological,"CUBN, IFCR, MGA1"
Hematological,AMN
Cancer,"CDK4, CMM3"
Cancer,"CDKN2A, MTS1, P16, MLM, CMM2"
Cancer,"CDKN2A, MTS1, P16, MLM, CMM2"
Cancer,XRCC3
Cancer,"STK11, PJS, LKB1"
Cancer,BRAF
Dermatological,"SLURP1, MDM"
Skeletal,"FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS"
Developmental,"LEMD3, MAN1"
Neurological,BDNF
Neurological,"COCH, DFNA9"
Cancer,"MN1, MGCR"
Cancer,"PTEN, MMAC1"
Cancer,NF2
Cancer,"PDGFB, SIS"
Immunological,"MBL2, MBL, MBP1"
Neurological,"ATP7A, MNK, MK, OHS"
Neurological,"PRSS12, BSSP3"
Neurological,"CRBN, MRT2A"
Neurological,"NLGN4, KIAA1260, AUTSX2"
Neurological,"MECP2, RTT, PPMX, MRX16, MRX79"
Neurological,"PAK3, MRX30, MRX47"
Neurological,"IL1RAPL, MRX34"
Neurological,"ARX, ISSX, PRTS, MRXS1, MRX36, MRX54"
Neurological,"SLC6A8, CRTR"
Neurological,"FTSJ1, JM23, SPB1, MRX44, MRX9"
Neurological,"ZNF81, MRX45"
Neurological,"ARX, ISSX, PRTS, MRXS1, MRX36, MRX54"
Neurological,"TM4SF2, MXS1, A15"
Neurological,OPHN1
Neurological,"FTSJ1, JM23, SPB1, MRX44, MRX9"
Neurological,"FMR2, FRAXE, MRX2"
Neurological,"SMCX, MRXJ, DXS1272E, XE169, JARID1C"
Neurological,"GDI1, RABGD1A, MRX41, MRX48"
Neurological,"FACL4, ACS4, MRX63"
Neurological,"RPS6KA3, RSK2, MRX19"
Neurological,"ARHGEF6, MRX46, COOL2"
Neurological,AGTR2
Neurological,"FGD1, FGDY, AAS"
Neurological,ZNF41
Neurological,"DLG3, NEDLG, SAP102, MRX"
Neurological,"SMS, SRS, MRSR"
Neurological,"SOX3, MRGH"
Neurological,"MECP2, RTT, PPMX, MRX16, MRX79"
Neurological,"SLC6A8, CRTR"
Metabolic,"CYP2C, CYP2C19"
Cancer,"SDHD, PGL1"
Renal,WT1
Cancer,BCL10
Neurological,ARSA
Neurological,"PSAP, SAP1"
Connective tissue,"PTHR1, PTHR"
Connective tissue,COL10A1
Connective tissue,"RMRP, RMRPR, CHH"
Hematological,CYB5
Hematological,HBA1
Hematological,HBB
Hematological,DIA1
Hematological,DIA1
Metabolic,"MAT1A, MATA1, SAMS1"
Metabolic,MTR
Metabolic,"ALDH6A1, MMSDH"
Metabolic,"MUT, MCM"
Metabolic,MMAA
Metabolic,MMAB
Metabolic,"MVK, MVLK"
Immunological,RFXANK
Neurological,"SLC25A19, DNC, MUP1, MCPHA"
Neurological,MCPH1
Neurological,"CDK5RAP2, KIAA1633, MCPH3"
Neurological,"ASPM, MCPH5"
Neurological,"CEMPJ, CPAP, MCPH6"
Ophthamological,"LAMB2, LAMS"
Renal,LHCGR
Ophthamological,"CHX10, HOX10"
Ophthamological,SIX6
Ophthamological,"BCOR, KIAA1575, MAA2, ANOP2"
Neurological,"ATP1A2, FHM2, MHP2"
Neurological,EDNRA
Neurological,"ESR1, ESR"
Neurological,"TNF, TNFA"
multiple,"YWHAE, MDCR, MDS"
multiple,NDUFS1
multiple,NDUFS2
multiple,"NDUFS4, AQDQ"
multiple,"NDUFV1, UQOR1"
multiple,"BCS1L, FLNMS, GRACILE"
multiple,"UQCRB, UQBP, QPC"
Muscular,TK2
multiple,SUCLA2
multiple,"DGUOK, DGK"
multiple,"PUS1, MLASA"
multiple,"SDHA, SDH2, SDHF"
Muscular,"DYSF, LGMD2B"
Endocrine,"TCF2, HNF2"
Endocrine,"TCF2, HNF2"
Endocrine,INS
Endocrine,"HNF4A, TCF14, MODY1"
Endocrine,GCK
Endocrine,"TCF1, HNF1A, MODY3"
Endocrine,IPF1
Endocrine,"TCF2, HNF2"
Neurological,"TIMM8A, DFN1, DDP, MTS, DDP1"
Metabolic,"MOCS1, MOCOD"
Metabolic,"MOCS2, MPTS"
Metabolic,"GPH, KIAA1385, GEPH"
Dermatological,"KRTHB1, HB1"
Dermatological,"KRTHB6, HB6"
Skeletal,"PAX6, AN2, MGDA"
Developmental,"ZFHX1B, SMADIP1, SIP1"
Neurological,MYMY3
multiple,"CIAS1, C1orf7, FCU, FCAS"
Cancer,"MAML2, MAM3"
Cancer,"MECT1, KIAA0616"
Metabolic,"GNPTAB, GNPTA"
Metabolic,GNPTAG
Metabolic,"MCOLN1, ML4"
Metabolic,"IDUA, IDA"
Metabolic,"IDUA, IDA"
Metabolic,"IDS, MPS2, SIDS"
Metabolic,"IDUA, IDA"
Metabolic,"GALNS, MPS4A"
Metabolic,GLB1
Metabolic,"GNS, G6S"
Metabolic,HYAL1
Metabolic,"GUSB, MPS7"
Skeletal,"FGFR3, ACH"
Cancer,"MLH1, COCA2, HNPCC2"
Cancer,"MSH2, COCA1, FCC1, HNPCC1"
multiple,"TRIM37, MUL, KIAA0898"
Cancer,FH
Cancer,MEN1
Cancer,"RET, MEN2A"
Cancer,"RET, MEN2A"
Cancer,"TP53, P53, LFS1"
Cancer,"IRF4, LSIRF"
Cancer,LIG4
Neurological,"MHC2TA, C2TA"
Neurological,"PTPRC, CD45, LCA"
Metabolic,"SUMF1, FGE"
multiple,"POMGNT1, MEB"
Muscular,PHKA1
Muscular,"GDF8, MSTN"
Muscular,"FKRP, MDC1C, LGMD2I"
Muscular,"LAMA2, LAMM"
Muscular,"LAMA2, LAMM"
Muscular,"LARGE, KIAA0609, MDC1D"
Muscular,FCMD
Muscular,"TTID, MYOT"
Muscular,"CAPN3, CANP3"
Muscular,"DYSF, LGMD2B"
Muscular,"SGCG, LGMD2C, DMDA1, SCG3"
Muscular,"SGCA, ADL, DAG2, LGMD2D, DMDA2"
Muscular,"SGCB, LGMD2E"
Muscular,"SGCD, SGD, LGMD2F, CMD1L"
Muscular,"TCAP, LGMD2G, CMD1N"
Muscular,"TRIM32, HT2A, LGMD2H"
Muscular,"FKRP, MDC1C, LGMD2I"
Muscular,"TTN, CMD1G, TMD, LGMD2J"
Muscular,POMT1
Muscular,"CAV3, LGMD1C"
Muscular,"SEPN1, SELN, RSMD1"
Muscular,"PLEC1, PLTN, EBS1"
Muscular,"CMS1A1, FIM1"
Muscular,"SCN4A, HYPP, NAC1A"
Muscular,"CHRNB1, ACHRB, SCCMS, CMS2A, CMS1D"
Muscular,"CHRNE, SCCMS, CMS2A, FCCMS, CMS1E, CMS1D"
Muscular,"RAPSN, CMS1D, CMS1E"
Muscular,"CHAT, CMS1A2"
Muscular,"RAPSN, CMS1D, CMS1E"
Muscular,"CHRNA1, ACHRD, CMS2A, SCCMS, FCCMS"
Muscular,"CHRND, ACHRD, SCCMS, CMS2A, FCCMS"
Muscular,"CHRNE, SCCMS, CMS2A, FCCMS, CMS1E, CMS1D"
Muscular,"CHRNA1, ACHRD, CMS2A, SCCMS, FCCMS"
Muscular,"CHRNB1, ACHRB, SCCMS, CMS2A, CMS1D"
Muscular,"CHRND, ACHRD, SCCMS, CMS2A, FCCMS"
Muscular,"CHRNE, SCCMS, CMS2A, FCCMS, CMS1E, CMS1D"
Immunological,IL12RB1
Immunological,IFNGR1
Immunological,"IFNGR2, IFNGT1, IFGR2"
Immunological,STAT1
Immunological,"NRAMP1, NRAMP"
Muscular,MDS1
Muscular,"FACL6, ACS2"
Muscular,"IRF1, MAR"
Hematological,JAK2
Cancer,"FACL6, ACS2"
Cancer,"IRF1, MAR"
Cancer,CBFB
Cancer,"CSF1R, FMS"
Immunological,"CXCR4, D2S201E, NPY3R, WHIM"
Cancer,"PDGFRB, PDGFR"
Immunological,MPO
Cancer,"PDGFRB, PDGFR"
Muscular,AMPD1
Cardiovascular,F7
Cardiovascular,"APOE, AD2"
Cardiovascular,"ACE, DCP1, ACE1"
Cardiovascular,"ALOX5AP, FLAP"
Cardiovascular,LGALS2
Cardiovascular,"LTA, TNFB"
Cardiovascular,"OLR1, LOX1"
Cardiovascular,"THBD, THRM"
Cardiovascular,"GCLM, GLCLR"
Cardiovascular,"TNFSF4, GP34, OX4OL"
Neurological,"EFHC1, FLJ10466, EJM1"
Neurological,"GABRG2, GEFSP3, CAE2, ECA2"
Neurological,"ARX, ISSX, PRTS, MRXS1, MRX36, MRX54"
Metabolic,"PGK1, PGKA"
Neurological,"KCNQ2, EBN1"
multiple,ECGF1
Muscular,"ACTA1, ASMA, NEM3, NEM1"
Muscular,"ACTA1, ASMA, NEM3, NEM1"
Muscular,"CRYAB, CRYA2, CTPP2"
Muscular,MYF6
Muscular,ITGA7
Muscular,"DES, CMD1I"
Muscular,"DYSF, LGMD2B"
Muscular,"CAV3, LGMD1C"
Muscular,CPT2
Muscular,"PGAM2, PGAMM"
Muscular,"MYH7, CMH1, MPD1"
Muscular,"MYH7, CMH1, MPD1"
Muscular,"ACTA1, ASMA, NEM3, NEM1"
Muscular,"TTID, MYOT"
Muscular,"SCN4A, HYPP, NAC1A"
Muscular,CLCN1
Muscular,CLCN1
Muscular,CLCN1
Muscular,"DMPK, DM, DMK"
Muscular,"ZNF9, CNBP1, DM2, PROMM"
Muscular,"MTM1, MTMX"
Cancer,"DDIT3, GADD153, CHOP10"
Cardiovascular,"PRKAR1A, TSE1, CNC1, CAR"
Metabolic,NAGS
multiple,"LMX1B, NPS1"
multiple,"LMX1B, NPS1"
Ophthamological,NHS
Psychiatric,"HCRT, OX"
Cancer,"TP53, P53, LFS1"
Bone,TREM2
Bone,"TYROBP, PLOSL, DAP12"
multiple,"JUP, DP3, PDGB"
Muscular,"TPM2, TMSB, AMCD1, DA1"
Muscular,"TPM3, NEM1"
Muscular,"NEB, NEM2"
Muscular,"TNNT1, ANM"
multiple,"CLDN1, SEMP1"
Renal,"AVPR2, DIR, DI1, ADHR"
Renal,"CLCN5, CLCK2, NPHL2, DENTS"
Renal,"ZNF365, UAN"
Renal,"INVS, INV, NPHP2, NPH2"
Renal,"NPHP4, SLSN4"
Renal,"NPHP3, NPH3"
Renal,"NPHP1, NPH1, SLSN1"
Renal,"HF1, CFH, HUS"
Renal,"CD151, PETA3, SFA1"
Renal,"NPHS1, NPHN"
Renal,"PDCN, NPHS2, SRN1"
Dermatological,"SPINK5, LEKTI"
Developmental,"MTHFD, MTHFC"
Cancer,"NME1, NM23"
Cancer,"PMX2B, NBPHOX, PHOX2B"
Neurological,"PANK2, NBIA1, PKAN, HARP"
multiple,"PMS2, PMSL2, HNPCC4"
Cancer,"NF1, VRNF, WSS, NFNS"
Cancer,"NF1, VRNF, WSS, NFNS"
Cancer,"NF1, VRNF, WSS, NFNS"
Cancer,NF2
Cancer,"MSH2, COCA1, FCC1, HNPCC1"
Cancer,MXI1
Neurological,"EGR2, KROX20"
Neurological,"MPZ, CMT1B, CMTDI3, CHM, DSS"
Neurological,"HSPB1, HSP27, CMT2F"
Neurological,"HSPB8, H11, E2IG1, DHMN2"
Neurological,"SPTLC1, LBC1, SPT1, HSN1, HSAN"
Neurological,"NGFB, HSAN5"
Neurological,HSN2
Neurological,"PMP22, CMT1A, CMT1E, DSS"
Hematological,"FCGR3A, CD16, IGFR3"
Hematological,ELA2
Hematological,"GFI1, ZNF163"
Hematological,"WAS, IMD2, THC"
Immunological,RAC2
Connective tissue,"PLOD, PLOD1"
Dermatological,KRT10
Ophthamological,RLBP1
Psychiatric,"CYP2A6, CYP2A3, CYP2A, P450C2A"
Psychiatric,"CHRNA4, ENFL1"
Psychiatric,"GPR51, GABBR2"
Metabolic,"SMPD1, NPD"
Metabolic,"SMPD1, NPD"
Metabolic,"NPC1, NPC"
Metabolic,"NPC2, HE1"
Metabolic,"NPC1, NPC"
Ophthamological,GNAT1
Ophthamological,"CSNB1, NYX"
Ophthamological,"PDE6B, PDEB, CSNB3"
Ophthamological,"CACNA1F, CSNB2"
Ophthamological,"RHO, RP4, OPN2"
multiple,"NBS1, NBS"
Muscular,"GNE, GLCNE, IBM2, DMRV, NM"
Cardiovascular,"TAZ, EFE2, BTHS, CMD3A, LVNCX"
Cancer,"CASP10, MCH4, ALPS2"
Cancer,"IRF1, MAR"
Cancer,EGFR
Cancer,BRAF
Developmental,"PTPN11, PTP2C, SHP2, NS1"
Neurological,"NDP, ND"
Metabolic,LCAT
Immunological,"FUT2, SE"
Immunological,NP
Nutritional,POMC
Nutritional,MC4R
Nutritional,"AKR1C2, DDH2, DD2, HAKRD"
Nutritional,"NTRK2, TRKB"
Nutritional,"AGRP, ART, AGRT"
Nutritional,"NR0B2, SHP"
Nutritional,"LEP, OB"
Nutritional,"LEPR, OBR"
Nutritional,"PPARG, PPARG1, PPARG2"
Nutritional,"PPARG, PPARG1, PPARG2"
Nutritional,SIM1
Nutritional,UCP3
Nutritional,"LEP, OB"
Nutritional,MC3R
Nutritional,"SLC6A14, OBX"
Nutritional,ADRB2
Nutritional,ADRB3
Nutritional,CART
Nutritional,"ENPP1, PDNP1, NPPS, M6S1, PCA1"
Nutritional,GHRL
Nutritional,UCP1
Nutritional,UCP2
Nutritional,"PCSK1, NEC1, PC1, PC3"
Psychiatric,"SLC6A4, HTT, OCD1"
Psychiatric,BDNF
Psychiatric,HTR2A
multiple,"ATP7A, MNK, MK, OHS"
Ophthamological,OA1
Ophthamological,MC1R
Ophthamological,"MATP, AIM1"
